                  height                  radius                numParts                     rho                       T                    ekin                       p                     T_r                     T_y                     T_t                     v_r                     v_y                     v_t                     p_r                     p_y                     p_t              numSamples
   4.575000000000000e+01   2.500000000000000e-01   4.975000000000000e-01   1.266873347007371e+00   5.697663438196130e-01   8.717001145217509e-01   2.516339089747105e+00   4.544956534839140e-01   7.881567736005404e-01   4.666466043743832e-01   1.539824825471287e-02  -1.833685492989557e-01   1.549408478566628e-02                     nan   2.462891268754416e+00                     nan                     400
   4.625000000000000e+01   2.500000000000000e-01   4.500000000000000e-01   1.145915590257923e+00   6.589777322749273e-01   1.030566640116693e+00  -9.822684770164463e-01   7.441166120764889e-01   6.743771431290569e-01   5.584394416192360e-01   2.044374190696225e-02  -2.793744646358900e-01  -7.571027232057231e-02                     nan   1.700816950624860e+00                     nan                     400
   4.675000000000000e+01   2.500000000000000e-01   2.050000000000000e-01   5.220282133397206e-01   3.845719968445170e-01   5.868069884354544e-01  -1.297169965328337e+00   2.132493181496818e-01   5.536654341089382e-01   3.868012382749308e-01  -1.528423599570514e-02  -1.396493954650135e-01  -1.274459939118823e-02                     nan  -2.073049318786135e+00                     nan                     400
   4.725000000000000e+01   2.500000000000000e-01   7.524999999999999e-01   1.916225514820194e+00   5.412585774764476e-01   8.523551691186753e-01  -2.168779482365359e+00   8.039138893485418e-01   5.308236088644050e-01   2.890382342163957e-01  -6.728782031217208e-02  -2.607582053844660e-01   9.171757394478541e-02                     nan  -2.538789396761977e+00                     nan                     400
   4.775000000000000e+01   2.500000000000000e-01   7.000000000000001e-02   1.782535362623437e-01   9.641913654440109e-01   1.451860478444161e+00  -7.765294713925901e-02   1.035060067817235e+00   1.846551794474726e+00   1.096223404007330e-02  -4.811103620690865e-02  -9.390026753118785e-02  -3.863742869089560e-03                     nan   5.250132629649851e-01                     nan                     400
   4.825000000000000e+01   2.500000000000000e-01   1.625000000000000e-01   4.138028520375835e-01   1.272690689216423e+00   1.950251114279830e+00   7.585523341633815e-01   1.953759685128103e-01   3.055783251090865e+00   5.669128480455939e-01   2.327459448336116e-02  -2.861553184211577e-01   1.894175628634507e-03                     nan   3.746586509098800e-01                     nan                     400
   4.875000000000000e+01   2.500000000000000e-01   3.425000000000000e-01   8.721690881407529e-01   4.981544963457197e-01   7.877981866303041e-01  -5.691800561463374e-01   3.999642225661766e-02   8.627576727497597e-01   5.917093940307815e-01   4.298245382037582e-02  -2.803549381743402e-01  -2.620117417770441e-02                     nan  -2.053175859771974e-01                     nan                     400
   4.925000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   4.975000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
   5.025000000000000e+01   2.500000000000000e-01                     nan   0.000000000000000e+00                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                     nan                       0
